x_m,depth_m,initial_vp_m_s,true_vp_m_s,inverted_vp_m_s
1000.0,20.0,1500.0,1500.0,1500.0
1000.0,40.0,1500.0,1500.0,1500.0
1000.0,60.0,1500.0,1500.0,1500.0
1000.0,80.0,1500.0,1500.0,1500.0
1000.0,100.0,1500.0,1500.0,1500.0
1000.0,120.0,1500.0,1500.0,1500.0
1000.0,140.0,1500.0,1500.0,1500.0
1000.0,160.0,1500.0,1500.0,1500.0
1000.0,180.0,1500.0,1500.0,1500.0
1000.0,200.0,1500.0,1500.0,1500.0
1000.0,220.0,1500.0,1500.0,1500.0
1000.0,240.0,1500.0,1500.0,1500.0
1000.0,260.0,1500.0,1500.0,1500.0
1000.0,280.0,1500.0,1500.0,1500.0
1000.0,300.0,1500.0,1500.0,1500.0
1000.0,320.0,1500.0,1500.0,1500.0
1000.0,340.0,1500.0,1500.0,1500.0
1000.0,360.0,1500.0,1500.0,1500.0
1000.0,380.0,1500.0,1500.0,1500.0
1000.0,400.0,1500.0,1500.0,1500.0
1000.0,420.0,1500.0,1500.0,1500.0
1000.0,440.0,1500.0,1500.0,1500.0
1000.0,460.0,1837.1172,1837.1172,1837.1171
1000.0,480.0,1876.3092,1876.3092,1876.3074
1000.0,500.0,1949.7916,1949.7916,1949.7898
1000.0,520.0,2006.9462,2006.9462,1999.2435
1000.0,540.0,2192.7905,2160.45,2177.9028
1000.0,560.0,2193.6396,2166.5737,2161.52
1000.0,580.0,2195.2095,2172.6975,2174.5183
1000.0,600.0,2197.6565,2178.8213,2198.9883
1000.0,620.0,2200.9385,2184.9448,2161.2793
1000.0,640.0,2205.12,2007.3568,2030.0277
1000.0,660.0,2210.4646,2013.4806,1982.6492
1000.0,680.0,2216.889,2019.6042,2042.9081
1000.0,700.0,2224.344,2086.9653,2068.3193
1000.0,720.0,2232.734,2154.3262,2132.258
1000.0,740.0,2241.909,2160.45,2189.6077
1000.0,760.0,2251.769,2166.5737,2137.532
1000.0,780.0,2262.3132,2001.233,1992.1119
1000.0,800.0,2273.7104,2007.3568,1979.3514
1000.0,820.0,2285.9827,2062.4705,2059.3865
1000.0,840.0,2299.0903,2068.594,2057.118
1000.0,860.0,2312.8984,2074.7178,2067.8064
1000.0,880.0,2327.2512,2142.0786,2105.0273
1000.0,900.0,2341.9448,2148.2024,2128.4954
1000.0,920.0,2356.8523,2154.3262,2097.1616
1000.0,940.0,2371.91,2001.233,1994.307
1000.0,960.0,2387.1392,2007.3568,1974.5746
1000.0,980.0,2402.508,2013.4806,1972.152
1000.0,1000.0,2418.028,2117.584,2027.6135
1000.0,1020.0,2433.6294,2221.6873,2162.0637
1000.0,1040.0,2449.1733,2227.811,2167.21
1000.0,1060.0,2464.6257,2135.955,2141.333
1000.0,1080.0,2480.0142,2142.0786,2098.9915
1000.0,1100.0,2495.4097,2062.4705,2042.8512
1000.0,1120.0,2510.8987,2129.8313,2162.5264
1000.0,1140.0,2526.5159,2221.6873,2194.4023
1000.0,1160.0,2542.2932,2080.8416,2046.9012
1000.0,1180.0,2558.3252,2086.9653,2066.6829
1000.0,1200.0,2574.7007,2093.0889,2117.9368
1000.0,1220.0,2591.7454,2135.955,2094.2212
1000.0,1240.0,2609.4155,2142.0786,2224.4717
1000.0,1260.0,2627.6204,2319.6667,2332.7698
1000.0,1280.0,2646.2776,2264.5532,2328.3762
1000.0,1300.0,2665.025,2356.409,2367.907
1000.0,1320.0,2683.8188,2362.533,2431.244
1000.0,1340.0,2702.7075,2368.6567,2391.3523
1000.0,1360.0,2721.856,2215.5635,2301.7717
1000.0,1380.0,2741.598,2221.6873,2298.011
1000.0,1400.0,2761.8833,2227.811,2333.5044
