x_m,model,rmse_m_s,mae_m_s,bias_m_s,correlation
1000.0,initial,416.45477,324.1657,171.10652,0.9057613593239899
1000.0,inverted,329.54257,208.48837,20.53391,0.930185170555236
3000.0,initial,379.81567,284.2212,159.64378,0.9150568988299458
3000.0,inverted,246.15099,122.83985,55.106346,0.9640382884558188
5000.0,initial,400.69498,289.33725,-110.84475,0.9065239405518489
5000.0,inverted,123.220764,76.57937,-11.378469,0.9909003955301114
7000.0,initial,351.27893,255.79434,20.57685,0.9130310761762316
7000.0,inverted,168.33954,86.75043,19.136854,0.9813189085811191
9000.0,initial,411.96576,285.17245,-127.42912,0.9028245934983189
9000.0,inverted,340.9035,218.01358,-108.74526,0.9368048252954977
